,subscribed
7558,0
33337,0
15355,0
28842,0
33201,0
24825,0
18129,0
1594,0
7099,0
11827,0
27512,0
1663,0
24316,0
21757,0
14043,0
1986,0
5257,0
31424,1
5340,0
21705,1
13575,0
30500,0
19509,0
23367,0
30297,1
19838,0
13118,0
39259,1
12544,0
18924,0
18625,0
1512,0
6940,0
32662,0
6135,0
27386,0
12954,0
14174,0
13827,0
25526,0
34483,0
10381,0
38738,1
19990,1
18126,0
28126,0
36430,0
35859,1
9920,0
13358,0
3859,0
37580,0
718,0
28849,0
11683,0
16838,0
25095,0
944,0
23147,0
23957,0
10358,0
14811,0
20647,0
30580,0
22397,0
30247,0
19793,0
22514,0
18652,0
16456,0
2023,0
33709,0
36097,1
4668,0
35755,0
15537,0
15610,0
34423,0
34697,0
21797,0
27539,0
34457,0
7405,0
14595,0
19641,0
31128,0
20668,0
24600,0
32470,0
37993,1
32922,0
26202,0
7663,0
31731,0
11171,0
34079,1
15038,0
24940,0
17103,1
14230,0
12369,0
16805,0
2147,0
20824,0
36999,0
40066,0
26214,0
38637,1
14032,0
12043,0
29318,0
40859,1
37245,1
17752,0
2510,0
29208,0
7095,0
8949,0
1288,0
39299,1
12797,0
40392,0
2788,0
34417,0
13396,0
14451,0
32409,0
8409,0
32274,0
20774,0
41066,0
1033,0
25314,0
12573,0
35486,0
22965,0
13241,0
36340,1
30070,1
39226,0
5946,0
11424,0
7421,0
37463,1
25235,0
21013,0
35451,0
23416,0
33213,0
18651,0
34419,1
16070,0
18562,0
2675,0
20177,0
36766,0
9474,0
30416,1
7743,0
23322,1
16463,0
29190,1
20759,0
33646,1
23812,0
6912,0
2487,0
35239,0
18717,0
23106,0
27891,0
21677,0
26514,0
18582,0
225,0
18388,1
38153,0
8710,0
40001,1
34726,0
8871,0
24980,0
27714,1
21087,0
4720,0
35499,0
26859,0
9227,0
534,0
32790,0
26163,0
3733,1
24443,0
18943,0
35595,0
14523,0
14782,1
20689,0
8204,0
23980,0
30095,0
26579,1
14925,0
37902,0
22730,0
4763,0
33461,0
19263,0
374,0
35476,0
33844,0
4104,0
33269,0
20207,0
17092,0
16239,0
40342,1
13751,0
2994,0
4854,0
37723,1
34399,0
31129,0
9707,0
20303,0
191,0
36176,0
16847,0
12600,0
33929,0
29494,0
31687,0
36541,0
20734,0
28082,0
14483,0
41152,0
35892,0
1039,0
19688,0
36182,0
17259,0
35091,0
28619,0
21012,0
261,0
27335,0
26776,0
40630,0
27531,0
27211,0
21160,0
35440,0
14778,0
38263,0
5211,0
2892,0
40543,1
30658,0
33231,0
6871,0
36633,0
26655,0
19101,1
7504,0
117,0
21602,0
11370,0
89,0
37517,0
1965,0
14612,0
29365,0
39470,0
19686,0
32830,1
1497,0
27296,0
10572,0
37289,0
29032,0
4443,0
32325,0
13076,0
16826,0
29781,0
36081,0
22848,0
29128,0
7528,0
7355,0
33012,0
41151,0
24642,0
17296,0
30472,0
19164,0
21780,0
5286,0
10243,0
34575,0
3314,0
20897,0
21313,0
19034,0
38910,0
24014,1
31122,0
27541,0
27105,0
32752,0
27957,0
1182,0
34652,0
23611,0
51,0
32107,0
37009,0
508,0
11315,0
25692,0
15114,0
28864,0
32134,0
19831,0
9984,0
1836,0
7525,0
29941,0
15993,0
12576,0
22747,0
28756,0
20924,0
7249,0
7499,0
32565,0
3897,0
1508,0
16325,0
752,0
28220,0
40854,1
34434,0
14463,0
25420,0
22544,0
1991,0
38104,0
36331,0
12239,0
12303,0
41009,1
11638,0
34361,1
19830,0
14178,0
29964,0
39861,0
9415,0
32537,0
38600,0
35188,0
1215,0
38733,0
18542,0
27101,0
27309,0
8240,0
22717,0
16900,0
11192,0
37099,0
5500,0
24041,1
31423,0
16357,0
38886,0
8304,0
28275,0
2080,0
19061,0
2963,0
3604,0
31565,0
37799,0
12470,0
14917,0
10406,0
37229,0
15840,0
21645,1
2666,0
28313,0
2850,0
4350,0
20491,1
14036,0
12627,0
13694,0
34654,0
4469,0
28623,1
28415,0
6528,1
23602,0
1973,0
19030,0
15001,0
16778,0
26343,0
23634,0
23232,0
14217,0
39123,0
11907,0
40584,0
26939,0
17149,0
9585,0
1097,0
32360,0
22524,0
18911,0
26584,1
35492,1
896,0
22469,1
15407,0
30163,1
13392,0
14115,0
2433,0
8013,0
33428,0
38904,0
40919,0
13818,0
28228,0
18332,0
37280,0
15774,0
38932,0
40063,1
19486,0
35389,0
15120,0
30180,0
22901,0
9508,0
24728,0
37581,0
4057,0
7640,0
18278,1
27880,1
2247,0
22752,0
28661,0
29705,0
34769,0
35374,0
1728,0
19267,0
35046,0
40113,0
24494,0
35302,1
19534,0
1056,0
25547,0
31223,0
30958,0
25486,0
28620,1
18629,0
26277,0
34185,0
15486,0
33395,0
6804,0
32831,0
20036,0
30614,0
32519,0
37949,0
25675,1
28554,0
22687,0
16036,0
6972,0
